locality,property_type,location_text,area_sqft,rent_amount,maintenance_amount,deposit_amount,total_monthly_cost,rent_per_sqft,rent_outlier,sqft_outlier,rent_psf_outlier
Kothrud,Nan,"Hapoy Colony Near Van Devi Mandir Karve Nagar Road Kothurd, Van Devi Mandir",650.0,12000,0,24000,12000,18.46,0,0,0
Kothrud,Shop,"Gandhi Bhavan Rd, Gandhi Bhavan (Maharashtra Gandhi Smarak Nidhi)",160.0,20000,0,60000,20000,125.0,0,0,0
Kothrud,Shop,"Chandani Chowk , Shinde Farm Golden Group,",500.0,100000,0,200000,100000,200.0,0,0,0
Kothrud,Office,"Paschimanagri,, City Pride- Kothrud",230.0,100000,13000,500000,113000,434.78,0,0,0
Kothrud,Nan,"Late. G A Kulkarni Road, Opposite Karishma Society, Kothrud",100.0,10000,0,10000,10000,100.0,0,0,0
Kothrud,Office,"Near Vanaz Metro Station, Aboli Villa, Utsav Sabhagruha",200.0,20000,0,50000,20000,100.0,0,0,0
Kothrud,Office,"City Pride- Kothrud, City Pride- Kothrud",111.0,90000,10000,300000,100000,810.81,0,0,1
Kothrud,Showroom,"Paud Road, Anand Nagar Metro Station",850.0,150000,1500,810000,151500,176.47,0,0,0
Kothrud,Office,"New India School Road, Janaseva Sahakari Bank",350.0,18000,0,35000,18000,51.43,0,0,0
Kothrud,Office,"Jog School, Jog School",430.0,120000,0,720000,120000,279.07,0,0,0
Kothrud,Office,"Dahanukar Colony,, Jalsa Restaurant And Bar",924.0,55000,0,165000,55000,59.52,0,0,0
Kothrud,Warehouse,"Jijai Nagar, Grandstand Trinity",390.0,45000,0,200000,45000,115.38,0,0,0
Kothrud,Office,"Mavale Basti,, Opp Vandevi Mandir",850.0,30000,0,65000,30000,35.29,0,0,0
Kothrud,Office,"Kothrud , Kothrud",250.0,70000,5000,450000,75000,280.0,0,0,0
Kothrud,Office,"Paud Rd, Bhusari Colony,, Cafe Durga",700.0,28000,0,75000,28000,40.0,0,0,0
Kothrud,Commercial,"Gat No:405 ,Phaltan Midc, Near Cummins Php Ltd, At Post Nandal ,Ta Phaltan , Dist Satara, Near Cummins Php Ltd , Suravdi Phaltan Midc",560.0,218000,0,7500000,218000,389.29,0,0,0
Kothrud,Shop,"Happy Colony Ln, , Janata Sahakari Bank Limited - Karve Nagar Branch",100.0,10000,0,50000,10000,100.0,0,0,0
Kothrud,Office,"Spectra Complex, Jalgaon People",312.0,47000,0,100000,47000,150.64,0,0,0
Kothrud,Restaurant,"Sangunabai Bhoj Path, Front Of Kidzee School Near Cummins College",700.0,65000,0,250000,65000,92.86,0,0,0
Kothrud,Office,"Guru Genesh Nagar,",195.0,19000,0,40000,19000,97.44,0,0,0
Kothrud,Office,"Sagar Colony Near Db Road, Ashish Garden Banquet Hall",300.0,12000,0,24000,12000,40.0,0,0,0
Kothrud,Commercial,"Karve Road , Near Kothrud Post Office",300.0,919999,0,5520000,919999,3066.66,0,0,1
Kothrud,Office,"Mrutyunjay Society Road, Sagar Fast Food",500.0,75000,0,225000,75000,150.0,0,0,0
Kothrud,Office,"Left Busari Colony Kothrud Pune, Savali School ,Next To Vyom Building",390.0,300000,30000,1000000,330000,769.23,0,0,0
Kothrud,Office,"Sr 145, Dp Rd, Near Shivaji Maharaj Statue, Opp. Uco Bank, Mayur Colony, Kothrud, Pune, Maharashtra 411038, Subudh Hospital And Research Center",780.0,30000,1500,50000,31500,38.46,0,0,0
Baner,Office,"Baner, Balewadi High Street",762.0,60000,0,360000,60000,78.74,0,0,0
Baner,Office,"Balewadi Phata Near By Ganraj Chowk, Balewadi High Street",600.0,120000,0,720000,120000,200.0,0,0,0
Baner,Office,"Baner Kundan Garden, Pancharatna Shop",400.0,35000,0,90000,35000,87.5,0,0,0
