locality,location_full,property_type,sqft,rent,deposit,price_per_sqft,furnishing
Kothrud,"hapoy colony near van devi mandir karve nagar road kothurd, van devi mandir",Office,650,12000,24000,18.46,Furnished
Kothrud,"Gandhi Bhavan Rd, Gandhi Bhavan (Maharashtra Gandhi Smarak Nidhi)",Shop,160,20000,60000,125,Unfurnished
Kothrud,"Chandani chowk , Shinde Farm Golden Group,",Shop,500,100000,300000,200,Furnished
Kothrud,"Paschimanagri,, City Pride- Kothrud",Office,230,100000,300000,434.78,Furnished
Kothrud,"Late. G A kulkarni road, Opposite Karishma Society, Kothrud",Office,100,10000,10000,100,Furnished
Kothrud,"Near Vanaz Metro station, Aboli Villa, Utsav Sabhagruha",Office,200,20000,50000,100,Unfurnished
Kothrud,"City Pride- Kothrud, City Pride- Kothrud",Office,111,90000,270000,810.81,Unfurnished
Kothrud,"PAUD ROAD, ANAND NAGAR METRO STATION",Showroom,850,150000,450000,176.47,Semi-Furnished
Kothrud,"New India School Road, Janaseva Sahakari Bank",Office,350,18000,35000,51.43,Furnished
Kothrud,"Jog school, Jog school",Office,430,120000,360000,279.07,Unfurnished
Kothrud,"Dahanukar Colony,, Jalsa Restaurant and Bar",Office,924,55000,165000,59.52,Unfurnished
Kothrud,"Mavale Basti,, opp Vandevi Mandir",Office,850,30000,65000,35.29,Semi-Furnished
Kothrud,"kothrud , Kothrud",Office,250,70000,210000,280,Furnished
Kothrud,"paud rd, Bhusari Colony,, Cafe Durga",Office,700,28000,75000,40,Furnished
Kothrud,"Gat No:405 ,Phaltan MIDC, near Cummins php Ltd, At Post Nandal ,Ta Phaltan , Dist Satara, Near Cummins php Ltd , Suravdi Phaltan MIDC",Commercial,560,218000,654000,389.29,Unfurnished
Kothrud,"Happy Colony Ln, , Janata Sahakari Bank Limited - Karve Nagar Branch",Shop,100,10000,50000,100,Unfurnished
Kothrud,"Spectra Complex, Jalgaon people",Office,312,47000,141000,150.64,Furnished
Kothrud,"Sangunabai Bhoj Path, front of kidzee school near Cummins College",Restaurant,700,65000,195000,92.86,Furnished
Kothrud,"guru genesh nagar,",Office,195,19000,40000,97.44,Unfurnished
Kothrud,"Sagar colony near DB road, Ashish Garden Banquet Hall",Office,300,12000,24000,40,Unfurnished
Kothrud,"Karve Road , near Kothrud Post Office",Commercial,300,919999,2759997,3066.66,Unfurnished
Kothrud,"Mrutyunjay Society Road, sagar fast food",Office,500,75000,225000,150,Furnished
Kothrud,"Sr 145, DP Rd, near Shivaji Maharaj Statue, opp. UCO Bank, Mayur Colony, Kothrud, Pune, Maharashtra 411038, Subudh hospital and research center",Office,780,30000,50000,38.46,Semi-Furnished
Baner,"Baner, Balewadi High Street",Office,762,60000,180000,78.74,Unfurnished
Baner,"balewadi phata Near by Ganraj chowk, Balewadi High Street",Office,600,120000,360000,200,Unfurnished
Baner,"Baner Kundan Garden, Pancharatna Shop",Office,400,35000,90000,87.5,Furnished
Baner,"Ambrosla Galaxy Rd, Baner High Street",Office,600,42000,126000,70,Furnished
Baner,"Baner Road, Zudio - Baner",Office,150,105000,315000,700,Unfurnished
Baner,"Mont Vert Spectra, Baner Road, Vijay Sales",Office,480,60000,180000,125,Furnished
Baner,"Baner Rd, opposite mabaleshwar hotel",Restaurant,700,400000,1200000,571.43,Unfurnished
Baner,"Baner Road,Ganraj Chowk, Opp Zudio",Office,400,108000,324000,270,Semi-Furnished
Baner,"madhavbaug society, Ram EnterPrises",Office,750,45000,135000,60,Furnished
Baner,"Mohan nagar, Bitwise Terratower",Office,250,85000,255000,340,Unfurnished
Baner,"Balewadi High Street rd, Livspace - Interior Design Studio, Baner",Office,550,145000,435000,263.64,Unfurnished
Baner,"Baner-Balewadi Road , Behind Fatcook",Office,650,27000,81000,41.54,Unfurnished
Baner,"45 Baner Street, Manipal Hospital Baner",Office,655,110000,330000,167.94,Unfurnished
Baner,"Banglore Highway Pashan Exit, Yamaha Motor Showroom - Raya Motors",Office,575,35000,105000,60.87,Unfurnished
Baner,"Baner Rd, Behind Croma",Office,643,150000,450000,233.28,Unfurnished
Baner,"Baner-Mahalunge Rd, ZUDIO - Baner",Shop,330,38000,114000,115.15,Semi-Furnished
Baner,"Baner Rd, behind Croma Showroom, Baner, Pyramid Axis",Office,500,90000,270000,180,Furnished
Baner,"Yash Orchid Private Road, TaTa Motors Cars Showroom - Garve, Baner",Office,640,50000,150000,78.12,Unfurnished
Baner,"SRN 84/1, Main, Baner Rd, la commercia",Office,654,60000,180000,91.74,Unfurnished
Baner,"Samarth Colony, Yamaha Motor Showroom - Raya Motors",Office,577,41000,123000,71.06,Semi-Furnished
Baner,"Balewadi high street, balewadi high street",Office,948,90000,270000,94.94,Unfurnished
Baner,"pashan hwy , Tata Motors Cars Showroom - Garve, Baner",Office,395,130000,390000,329.11,Furnished
Baner,"Mohan Nagar, near Bitwise, Baner, Bitwise,",Office,200,95000,285000,475,Furnished
Baner,"Bypass Road, Bypass Road",Office,948,80000,240000,84.39,Unfurnished
Baner,"Near Kapil Akhila, Lane next to Westport",Commercial,140,10000,30000,71.43,Furnished
Hinjawadi,"Wipro Circle, wipro Circle",Office,526,25000,75000,47.53,Semi-Furnished
Hinjawadi,"Phase II, near Shell Petrol Pump, Above ICICI Bank (1st Floor)",Shop,504,40000,120000,79.37,Unfurnished
