Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Kothrud,"Co-Working space in The Business Hub, Pune for Rent","hapoy colony near van devi mandir karve nagar road kothurd, van devi mandir","₹ 12,000 No Extra Maintenance",12000,"₹ 24,000",650 sqft,650,18.46,Parking,Furnished,22-10-2025,,https://www.nobroker.in/property/commercial/rent/co-working-space-in-the-business-hub-pune/8a9faf839a0f739e019a0fc847671e65/detail
Kothrud,"Shop in Kothrud, Pune for Rent","Gandhi Bhavan Rd, Gandhi Bhavan (Maharashtra Gandhi Smarak Nidhi)","₹ 20,000 No Extra Maintenance",20000,"₹ 60,000",160 sqft,160,125,Parking,Unfurnished,18-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kothrud-pune/8a9f94038f22a931018f2314ce2f2d4f/detail
Kothrud,"Shop in Kothrud, Pune for Rent","Chandani chowk , Shinde Farm Golden Group,",₹ 1 Lac No Extra Maintenance,100000,₹ 2 Lacs,500 sqft,500,66.67,Parking,Furnished,10-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kothrud-pune/8a9fac8499c2a2a00199c2b78a880778/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Paschimanagri,, City Pride- Kothrud","₹ 1 Lac + ₹ 13,000 Maintenance",100000,₹ 5 Lacs,230 sqft,230,81.3,Parking,Furnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in--kothrud-pune/8a9fad8798e012bc0198e083f6852fd6/detail
Kothrud,"Co-Working space in Lookwell Salon - Kothrud, Pune, Pune for Rent","Late. G A kulkarni road, Opposite Karishma Society, Kothrud","₹ 10,000 No Extra Maintenance",10000,"₹ 10,000",100 sqft,100,2.44,Parking,Furnished,28-10-2025,,https://www.nobroker.in/property/commercial/rent/co-working-space-in-lookwell-salon---kothrud--pune-pune/8a9fac839a2f3606019a2f9c045c24ac/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Near Vanaz Metro station, Aboli Villa, Utsav Sabhagruha","₹ 20,000 + No Extra Maintenance",20000,"₹ 50,000",200 sqft,200,100,Parking,Unfurnished,26-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9f8c1372665255017269ef32c438b5/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","City Pride- Kothrud, City Pride- Kothrud","₹ 90,000 + ₹ 10,000 Maintenance",90000,₹ 3 Lacs,111 sqft,111,81.01,Parking,Unfurnished,24-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9fae8898d11a440198d123646702b5/detail
Kothrud,"Showroom in Kothrud, Pune for Rent","PAUD ROAD, ANAND NAGAR METRO STATION","₹ 1.5 Lacs + ₹ 1,500 Maintenance",150000,₹ 8.1 Lacs,850 sqft,850,176.47,Parking,Semi Furnished,31-01-2023,Showroom,https://www.nobroker.in/property/commercial/rent/showroom-in-kothrud-pune/8a9fb0828373754e018373bc484939ca/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","New India School Road, Janaseva Sahakari Bank","₹ 18,000 No Extra Maintenance",18000,"₹ 35,000",350 sqft,350,51.43,Parking,Furnished,14-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9f8486971aedc701971b4634d824f7/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Jog school, Jog school",₹ 1.2 Lacs No Extra Maintenance,120000,₹ 7.2 Lacs,430 sqft,430,83.92,Parking,Unfurnished,26-09-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9fa1859758455701975860cb860a95/detail
